serial_no,record_id,object_name,loop_width_or_diameter_mm,loop_height_h_mm,bell_body_height_B_mm,h_over_loop_width_or_diameter,h_over_B,period,material,region_or_site,source_or_institution,source_url,in_50x50_filtered_view
043,MET-51918,Bell,24.48,17.71,115.29,0.7234,0.1536,500 BCE–300 CE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/51918,Yes
044,MET-51919,Bell,29.31,16.34,69.66,0.5575,0.2346,500 BCE–300 CE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/51919,Yes
045,MET-51920,Large Bell,61.14,69.98,108.02,1.1446,0.6478,500 BCE–300 CE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/51920,No
046,MET-551319,Bell with head of a bovine wearing a yoke ending in uraei,9.16,11.19,32.31,1.2216,0.3463,332–30 BCE,Leaded bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/551319,Yes
047,MET-551320,"Bell with heads of a ram, a jackal, and a bovine wearing a yoke ending in uraei",11.93,12.96,31.04,1.0863,0.4175,332–30 BCE,Leaded bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/551320,Yes
048,MET-56441,Bell,6.90,8.10,29.90,1.1739,0.2709,500 BCE–300 CE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/56441,Yes
049,MET-56443,Circular Bell,12.45,9.62,22.38,0.7727,0.4298,500 BCE–300 CE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/56443,Yes
050,MET-60101,Horse Bell,36.52,19.28,164.72,0.5279,0.1170,6th century,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/60101,Yes
051,MET-60102,Horse Bell,42.32,18.07,124.93,0.4270,0.1446,6th century,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/60102,Yes
052,MET-60103,Horse Bell,34.63,24.67,121.33,0.7124,0.2033,6th century,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/60103,Yes
053,MET-61053,Bell (Yongzhong),88.43,266.54,343.46,3.0141,0.7760,5th–3rd century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/61053,No
054,MET-61054,Bell (Chunyu),265.75,58.94,433.06,0.2218,0.1361,3rd–2nd century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/61054,No
055,MET-61060,Bell (Chunyu ),54.95,55.06,465.94,1.0020,0.1182,5th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/61060,No
056,MET-61220,Upright bell (nao),35.66,52.76,239.24,1.4795,0.2205,13th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/61220,No
057,MET-61245,Upright bell (nao),23.38,56.61,97.39,2.4213,0.5813,13th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/61245,No
058,MET-61289,Bell （Zheng）,36.10,64.07,97.93,1.7748,0.6542,5th–3rd century BC,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/61289,No
059,MET-62409,Bell,9.33,3.85,10.15,0.4126,0.3793,500 BCE–300 CE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/62409,Yes
060,MET-640179,Refectory Bell,72.85,88.93,160.07,1.2207,0.5556,13th century,Copper alloy,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/640179,No
061,MET-463044,Bell of Saint Patrick,63.19,24.85,171.15,0.3933,0.1452,early 20th century (original dated ca. 406),"Iron, sheet",Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/463044,No
062,MET-502100,Bell,35.22,27.45,85.55,0.7794,0.3209,1st century CE (?),Metal,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/502100,Yes
063,MET-502174,Bell,24.33,29.38,74.62,1.2076,0.3937,1st century CE,Metal,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/502174,Yes
064,MET-502510,Bell,24.19,26.37,42.63,1.0901,0.6186,1st century CE,Metal,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/502510,Yes
065,MET-502511,Bell,21.99,20.58,50.42,0.9359,0.4082,early 2nd century?,Metal,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/502511,Yes
066,MET-502512,Bell,17.66,28.02,41.83,1.5866,0.6699,100 BC–200 AD?,Metal,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/502512,Yes
067,MET-551366,Bell,16.72,13.08,17.92,0.7823,0.7299,332–30 BCE,Faience,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/551366,Yes
068,MET-551369,Bell in the form of Bes,21.06,23.07,39.93,1.0954,0.5778,332–30 BCE,cupreous metal,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/551369,Yes
069,MET-313236,Bell,6.54,15.68,25.60,2.3976,0.6125,750–950 CE,Gold alloy,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/313236,Yes
070,EJARS-2021-FIG1A-BIG,Big bell,17.98,17.67,67.33,0.9828,0.2624,Late Period (664–332 BC),Bronze (paper reports a Cu–Sn–Pb ternary alloy); iron clapper,Kom Oshim / Fayoum,Characterization and Conservation Study of Ancient Egyptian Bronze Bells,https://ejars.sohag-univ.edu.eg/Articles/Details/173,Yes
071,EJARS-2021-FIG1B-SMALL,Small bell,23.31,20.93,54.07,0.8979,0.3871,Late Period (664–332 BC),Bronze (paper reports a Cu–Sn–Pb ternary alloy); iron clapper,Kom Oshim / Fayoum,Characterization and Conservation Study of Ancient Egyptian Bronze Bells,https://ejars.sohag-univ.edu.eg/Articles/Details/173,Yes
072,AI20-21-PRK-FIG39-8,Bell with a four-sided hollow body,10.37,15.19,29.12,1.4648,0.5216,Early level of Period III,Leaded bronze,Prakash Chalcolithic site,Prakash 1955: A Chalcolithic Site — Ancient India Nos. 20 & 21,https://ignca.gov.in/Asi_data/45770.pdf,Yes
073,AI20-21-PRK-FIG39-9,Bell with a cup-shaped hollow body,32.08,26.97,47.88,0.8407,0.5633,Mid-level of Period III,Bronze,Prakash Chalcolithic site,Prakash 1955: A Chalcolithic Site — Ancient India Nos. 20 & 21,https://ignca.gov.in/Asi_data/45770.pdf,Yes
