serial,photo_file,name,source,period,material,H,W,D,h,loop_width,loop_type,B,h_B,h_DW,notes,url,id,x,y,region,evidence,excel,report,ruler,era,material_group,distance,outlier,outside_frame,filtered_visible
45,045_MET-51920.jpg,Large Bell,The Metropolitan Museum of Art,500 BCE–300 CE,Bronze,178.0,114.0,,69.9754,61.1371,Outer W/D - user-corrected image plane,108.0246,0.6478,0.6138,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 7 in. (17.8 cm); W. 4 1/2 in. (11.4 cm); D. 3 in. (7.6 cm) | Evidence PDF: 049_MET-51920_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 69.98 mm; Body B 108.02 mm; Loop outer W/D 61.14 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/51920,MET-51920,61.14,69.98,Not stated in dataset,collection/02_Evidence/045_MET-51920_Evidence.pdf,collection/03_Excel_Data/045_MET-51920_Data.xlsx,collection/04_Ruler_Reports/045_MET-51920/045_MET-51920_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/045_MET-51920/045_MET-51920_ruler.png,BCE–CE range,Bronze,82.53913314301283,True,True,False
46,046_MET-551319.jpg,Bell with head of a bovine wearing a yoke ending in uraei,The Metropolitan Museum of Art,332–30 BCE,Leaded bronze,43.5,32.0,,11.1923,9.1636,Outer W/D - user-corrected image plane,32.3077,0.3464,0.3498,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 4.4 × W. 3.2 × D. 4.5 cm (1 11/16 × 1 1/4 × 1 3/4 in.) | Evidence PDF: 052_MET-551319_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 11.19 mm; Body B 32.31 mm; Loop outer W/D 9.16 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/551319,MET-551319,9.16,11.19,Not stated in dataset,collection/02_Evidence/046_MET-551319_Evidence.pdf,collection/03_Excel_Data/046_MET-551319_Data.xlsx,collection/04_Ruler_Reports/046_MET-551319/046_MET-551319_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/046_MET-551319/046_MET-551319_ruler.png,BCE-dated,Bronze,4.065095324835569,False,False,True
47,047_MET-551320.jpg,"Bell with heads of a ram, a jackal, and a bovine wearing a yoke ending in uraei",The Metropolitan Museum of Art,332–30 BCE,Leaded bronze,44.0,43.0,,12.9634,11.9339,Outer W/D - user-corrected image plane,31.0366,0.4177,0.3015,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 4.4 × W. 4.3 × D. 4 cm (1 3/4 × 1 11/16 × 1 9/16 in.) | Evidence PDF: 053_MET-551320_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 12.96 mm; Body B 31.04 mm; Loop outer W/D 11.93 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/551320,MET-551320,11.93,12.96,Not stated in dataset,collection/02_Evidence/047_MET-551320_Evidence.pdf,collection/03_Excel_Data/047_MET-551320_Data.xlsx,collection/04_Ruler_Reports/047_MET-551320/047_MET-551320_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/047_MET-551320/047_MET-551320_ruler.png,BCE-dated,Bronze,7.284943376581592,False,False,True
48,048_MET-56441.jpg,Bell,The Metropolitan Museum of Art,500 BCE–300 CE,Bronze,38.0,24.0,,8.0982,6.902,Outer W/D - user-corrected image plane,29.9018,0.2708,0.3374,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 1 1/2 in. (3.8 cm); W. 15/16 in. (2.4 cm) | Evidence PDF: 055_MET-56441_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 8.10 mm; Body B 29.90 mm; Loop outer W/D 6.90 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/56441,MET-56441,6.9,8.1,Not stated in dataset,collection/02_Evidence/048_MET-56441_Evidence.pdf,collection/03_Excel_Data/048_MET-56441_Data.xlsx,collection/04_Ruler_Reports/048_MET-56441/048_MET-56441_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/048_MET-56441/048_MET-56441_ruler.png,BCE–CE range,Bronze,0.45398237851264694,False,False,True
49,049_MET-56443.jpg,Circular Bell,The Metropolitan Museum of Art,500 BCE–300 CE,Bronze,32.0,24.0,,9.6193,12.4511,Outer W/D - user-corrected image plane,22.3807,0.4298,0.4008,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 1 1/4 in. (3.2 cm); W. 15/16 in. (2.4 cm) | Evidence PDF: 057_MET-56443_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 100.00 deg; Top h 9.62 mm; Body B 22.38 mm; Loop outer W/D 12.45 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/56443,MET-56443,12.45,9.62,Not stated in dataset,collection/02_Evidence/049_MET-56443_Evidence.pdf,collection/03_Excel_Data/049_MET-56443_Data.xlsx,collection/04_Ruler_Reports/049_MET-56443/049_MET-56443_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/049_MET-56443/049_MET-56443_ruler.png,BCE–CE range,Bronze,6.1750789468637555,False,False,True
50,050_MET-60101.jpg,Horse Bell,The Metropolitan Museum of Art,6th century,Bronze,184.0,102.0,,19.2762,36.524,Outer W/D - user-corrected image plane,164.7238,0.117,0.189,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 7 1/4 in. (18.4 cm); W. 4 in. (10.2 cm); D. 2 3/8 in. (6 cm) | Evidence PDF: 058_MET-60101_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 19.28 mm; Body B 164.72 mm; Loop outer W/D 36.52 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/60101,MET-60101,36.52,19.28,Not stated in dataset,collection/02_Evidence/050_MET-60101_Evidence.pdf,collection/03_Excel_Data/050_MET-60101_Data.xlsx,collection/04_Ruler_Reports/050_MET-60101/050_MET-60101_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/050_MET-60101/050_MET-60101_ruler.png,CE / century-dated,Bronze,32.06024485246487,False,False,True
51,051_MET-60102.jpg,Horse Bell,The Metropolitan Museum of Art,6th century,Bronze,143.0,92.0,,18.0712,42.32,Outer W/D - user-corrected image plane,124.9288,0.1447,0.1964,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 5 5/8 in. (14.3 cm); 3 5/8 in. (9.2 cm); D. 2 1/8 in. (5.4 cm) | Evidence PDF: 059_MET-60102_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 18.07 mm; Body B 124.93 mm; Loop outer W/D 42.32 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/60102,MET-60102,42.32,18.07,Not stated in dataset,collection/02_Evidence/051_MET-60102_Evidence.pdf,collection/03_Excel_Data/051_MET-60102_Data.xlsx,collection/04_Ruler_Reports/051_MET-60102/051_MET-60102_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/051_MET-60102/051_MET-60102_ruler.png,CE / century-dated,Bronze,37.213774331556316,False,False,True
52,052_MET-60103.jpg,Horse Bell,The Metropolitan Museum of Art,6th century,Bronze,146.0,92.0,,24.6713,34.6273,Outer W/D - user-corrected image plane,121.3287,0.2033,0.2682,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 5 3/4 in. (14.6 cm); W. 3 5/8 in. (9.2 cm); D. 2 in. (5.1 cm) | Evidence PDF: 060_MET-60103_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 24.67 mm; Body B 121.33 mm; Loop outer W/D 34.63 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/60103,MET-60103,34.63,24.67,Not stated in dataset,collection/02_Evidence/052_MET-60103_Evidence.pdf,collection/03_Excel_Data/052_MET-60103_Data.xlsx,collection/04_Ruler_Reports/052_MET-60103/052_MET-60103_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/052_MET-60103/052_MET-60103_ruler.png,CE / century-dated,Bronze,32.66025872524589,False,False,True
53,053_MET-61053.jpg,Bell (Yongzhong),The Metropolitan Museum of Art,5th–3rd century BCE,Bronze,610.0,257.0,,266.5402,88.4301,Outer W/D - user-corrected image plane,343.4598,0.776,1.0371,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 24 in. (61 cm); W. 10 1/8 in. (25.7 cm) | Evidence PDF: 061_MET-61053_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 266.54 mm; Body B 343.46 mm; Loop outer W/D 88.43 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/61053,MET-61053,88.43,266.54,Not stated in dataset,collection/02_Evidence/053_MET-61053_Evidence.pdf,collection/03_Excel_Data/053_MET-61053_Data.xlsx,collection/04_Ruler_Reports/053_MET-61053/053_MET-61053_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/053_MET-61053/053_MET-61053_ruler.png,BCE-dated,Bronze,271.0736888744461,True,True,False
54,054_MET-61054.jpg,Bell (Chunyu),The Metropolitan Museum of Art,3rd–2nd century BCE,Bronze,492.0,,295.276,58.936,265.7484,Outer W/D - user-corrected image plane,433.064,0.1361,0.1996,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 19 3/8 in. (49.2 cm); Diam. 11 5/8 in. (29.5 cm) | Evidence PDF: 062_MET-61054_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 58.94 mm; Body B 433.06 mm; Loop outer W/D 265.75 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/61054,MET-61054,265.75,58.94,Not stated in dataset,collection/02_Evidence/054_MET-61054_Evidence.pdf,collection/03_Excel_Data/054_MET-61054_Data.xlsx,collection/04_Ruler_Reports/054_MET-61054/054_MET-61054_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/054_MET-61054/054_MET-61054_ruler.png,BCE-dated,Bronze,264.2254688708112,True,True,False
55,055_MET-61060.jpg,Bell (Chunyu ),The Metropolitan Museum of Art,5th century BCE,Bronze,521.0,,285.751,55.065,54.9521,Outer W/D - user-corrected image plane,465.935,0.1182,0.1927,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 20 1/2 in. (52.1 cm); Diam. 11 1/4 in. (28.6 cm) | Evidence PDF: 063_MET-61060_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 55.06 mm; Body B 465.94 mm; Loop outer W/D 54.95 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/61060,MET-61060,54.95,55.06,Not stated in dataset,collection/02_Evidence/055_MET-61060_Evidence.pdf,collection/03_Excel_Data/055_MET-61060_Data.xlsx,collection/04_Ruler_Reports/055_MET-61060/055_MET-61060_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/055_MET-61060/055_MET-61060_ruler.png,BCE-dated,Bronze,67.46747364471268,True,True,False
56,056_MET-61220.jpg,Upright bell (nao),The Metropolitan Museum of Art,13th century BCE,Bronze,292.0,185.0,,52.7592,35.6626,Outer W/D - user-corrected image plane,239.2408,0.2205,0.2852,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 11 1/2 in. (29.2 cm); W. 7 5/16 in. (18.5 cm); L. 11 1/4 in. (28.6 cm); W. at shoulder 6 11/16 in. (17 cm); L. at shoulder 8 1/4 in. (21 cm) | Evidence PDF: 064_MET-61220_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | Visible top suspension component is absent or not separable in the retained source view; h is recorded as 0 for the extant/shown form, not reconstructed. | No visible/separable top suspension component in the retained view; loop outer W/D is recorded as 0 for the shown form, not reconstructed. | User-corrected image lines: rotation 180.00 deg; Top h 52.76 mm; Body B 239.24 mm; Loop outer W/D 35.66 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/61220,MET-61220,35.66,52.76,Not stated in dataset,collection/02_Evidence/056_MET-61220_Evidence.pdf,collection/03_Excel_Data/056_MET-61220_Data.xlsx,collection/04_Ruler_Reports/056_MET-61220/056_MET-61220_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/056_MET-61220/056_MET-61220_ruler.png,BCE-dated,Bronze,53.314014105111234,False,True,False
57,057_MET-61245.jpg,Upright bell (nao),The Metropolitan Museum of Art,13th century BCE,Bronze,154.0,89.0,,56.6106,23.3843,Outer W/D - user-corrected image plane,97.3894,0.5813,0.6361,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 6 1/16 in. (15.4 cm); W. 3 1/2 in. (8.9 cm); D. 4 3/4 in. (12.1 cm) | Evidence PDF: 065_MET-61245_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | Visible top suspension component is absent or not separable in the retained source view; h is recorded as 0 for the extant/shown form, not reconstructed. | No visible/separable top suspension component in the retained view; loop outer W/D is recorded as 0 for the shown form, not reconstructed. | User-corrected image lines: rotation 180.00 deg; Top h 56.61 mm; Body B 97.39 mm; Loop outer W/D 23.38 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/61245,MET-61245,23.38,56.61,Not stated in dataset,collection/02_Evidence/057_MET-61245_Evidence.pdf,collection/03_Excel_Data/057_MET-61245_Data.xlsx,collection/04_Ruler_Reports/057_MET-61245/057_MET-61245_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/057_MET-61245/057_MET-61245_ruler.png,BCE-dated,Bronze,51.322776620132316,True,True,False
58,058_MET-61289.jpg,Bell （Zheng）,The Metropolitan Museum of Art,5th–3rd century BC,Bronze,162.0,127.0,,64.0746,36.1015,Outer W/D - user-corrected image plane,97.9254,0.6543,0.5045,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 6 3/8 in. (16.2 cm); W. (base) 5 in. (12.7 cm); Diam. (base) 3 9/16 in. (9 cm) | Evidence PDF: 066_MET-61289_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 64.07 mm; Body B 97.93 mm; Loop outer W/D 36.10 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/61289,MET-61289,36.1,64.07,Not stated in dataset,collection/02_Evidence/058_MET-61289_Evidence.pdf,collection/03_Excel_Data/058_MET-61289_Data.xlsx,collection/04_Ruler_Reports/058_MET-61289/058_MET-61289_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/058_MET-61289/058_MET-61289_ruler.png,CE / century-dated,Bronze,63.28546910626483,True,True,False
59,059_MET-62409.jpg,Bell,The Metropolitan Museum of Art,500 BCE–300 CE,Bronze,14.0,13.0,,3.85,9.3333,Outer W/D - user-corrected image plane,10.15,0.3793,0.2962,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 9/16 in. (1.4 cm); W. 1/2 in. (1.3 cm) | Evidence PDF: 068_MET-62409_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 105.00 deg; Top h 3.85 mm; Body B 10.15 mm; Loop outer W/D 9.33 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/62409,MET-62409,9.33,3.85,Not stated in dataset,collection/02_Evidence/059_MET-62409_Evidence.pdf,collection/03_Excel_Data/059_MET-62409_Data.xlsx,collection/04_Ruler_Reports/059_MET-62409/059_MET-62409_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/059_MET-62409/059_MET-62409_ruler.png,BCE–CE range,Bronze,5.1836763016222385,False,False,True
60,060_MET-640179.jpg,Refectory Bell,The Metropolitan Museum of Art,13th century,Copper alloy,249.0,,350.0,88.9286,72.8469,Outer W/D - user-corrected image plane,160.0714,0.5556,0.2541,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 9 13/16 × 13 3/4 in., 50.4 lb. (24.9 × 35 cm, 22.9 kg) | Evidence PDF: 069_MET-640179_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 88.93 mm; Body B 160.07 mm; Loop outer W/D 72.85 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/640179,MET-640179,72.85,88.93,Not stated in dataset,collection/02_Evidence/060_MET-640179_Evidence.pdf,collection/03_Excel_Data/060_MET-640179_Data.xlsx,collection/04_Ruler_Reports/060_MET-640179/060_MET-640179_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/060_MET-640179/060_MET-640179_ruler.png,CE / century-dated,Copper / copper alloy,104.55980537472323,True,True,False
61,061_MET-463044.jpg,Bell of Saint Patrick,The Metropolitan Museum of Art,early 20th century (original dated ca. 406),"Iron, sheet",196.0,133.0,,24.8517,63.1877,Outer W/D - user-corrected image plane,171.1483,0.1452,0.1869,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: Overall: 7 11/16 x 5 1/4 x 3 1/4 in. (19.6 x 13.3 x 8.2 cm) | Evidence PDF: 070_MET-463044_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 24.85 mm; Body B 171.15 mm; Loop outer W/D 63.19 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/463044,MET-463044,63.19,24.85,Not stated in dataset,collection/02_Evidence/061_MET-463044_Evidence.pdf,collection/03_Excel_Data/061_MET-463044_Data.xlsx,collection/04_Ruler_Reports/061_MET-463044/061_MET-463044_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/061_MET-463044/061_MET-463044_ruler.png,CE / century-dated,Iron,59.14375453080401,True,True,False
62,062_MET-502100.png,Bell,The Metropolitan Museum of Art,1st century CE (?),Metal,113.0,,60.0,27.4523,35.2227,Outer W/D - user-corrected image plane,85.5477,0.3209,0.4575,Added from supplied Legacy PDF after matching the official Met object page. Component h and B remain IMAGE-SCALED*. | Source dimensions: Height: 11.3 cm; Diameter: approximately 5.0 x 6.0 cm; Weight: 242 g | Evidence PDF: 071_MET-502100_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 27.45 mm; Body B 85.55 mm; Loop outer W/D 35.22 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.,https://www.metmuseum.org/art/collection/search/502100,MET-502100,35.22,27.45,Not stated in dataset,collection/02_Evidence/062_MET-502100_Evidence.pdf,collection/03_Excel_Data/062_MET-502100_Data.xlsx,collection/04_Ruler_Reports/062_MET-502100/062_MET-502100_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/062_MET-502100/062_MET-502100_ruler.png,CE / century-dated,Other / unspecified,34.63837467318581,False,False,True
63,063_MET-502174.png,Bell,The Metropolitan Museum of Art,1st century CE,Metal,104.0,69.0,,29.3773,24.3316,Outer W/D - user-corrected image plane,74.6227,0.3937,0.4258,Added from supplied Legacy PDF after matching the official Met object page. Component h and B remain IMAGE-SCALED*. | Source dimensions: Height: 10.4 cm; Length and width of base: 6.9 x 5.9 cm; Weight: 240 g | Evidence PDF: 072_MET-502174_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 29.38 mm; Body B 74.62 mm; Loop outer W/D 24.33 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.,https://www.metmuseum.org/art/collection/search/502174,MET-502174,24.33,29.38,Not stated in dataset,collection/02_Evidence/063_MET-502174_Evidence.pdf,collection/03_Excel_Data/063_MET-502174_Data.xlsx,collection/04_Ruler_Reports/063_MET-502174/063_MET-502174_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/063_MET-502174/063_MET-502174_ruler.png,CE / century-dated,Other / unspecified,27.748563926805293,False,False,True
64,064_MET-502510.png,Bell,The Metropolitan Museum of Art,1st century CE,Metal,69.0,56.0,,26.3733,24.1878,Outer W/D - user-corrected image plane,42.6267,0.6187,0.471,Added from supplied Legacy PDF after matching the official Met object page. Component h and B remain IMAGE-SCALED*. | Source dimensions: Height: 6.9 cm; Length and width: 5.6 x 4.2 cm; Weight: 124 g | Evidence PDF: 073_MET-502510_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 26.37 mm; Body B 42.63 mm; Loop outer W/D 24.19 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.,https://www.metmuseum.org/art/collection/search/502510,MET-502510,24.19,26.37,Not stated in dataset,collection/02_Evidence/064_MET-502510_Evidence.pdf,collection/03_Excel_Data/064_MET-502510_Data.xlsx,collection/04_Ruler_Reports/064_MET-502510/064_MET-502510_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/064_MET-502510/064_MET-502510_ruler.png,CE / century-dated,Other / unspecified,25.422661151028233,False,False,True
65,065_MET-502511.png,Bell,The Metropolitan Museum of Art,early 2nd century?,Metal,71.0,,50.0,20.5761,21.9937,Outer W/D - user-corrected image plane,50.4239,0.4081,0.4115,Added from supplied Legacy PDF after matching the official Met object page. Component h and B remain IMAGE-SCALED*. | Source dimensions: Height: 7.1 cm; Diameter: 5.0 cm; Weight: 127 g | Evidence PDF: 074_MET-502511_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 20.58 mm; Body B 50.42 mm; Loop outer W/D 21.99 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.,https://www.metmuseum.org/art/collection/search/502511,MET-502511,21.99,20.58,Not stated in dataset,collection/02_Evidence/065_MET-502511_Evidence.pdf,collection/03_Excel_Data/065_MET-502511_Data.xlsx,collection/04_Ruler_Reports/065_MET-502511/065_MET-502511_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/065_MET-502511/065_MET-502511_ruler.png,CE / century-dated,Other / unspecified,19.893415996253633,False,False,True
66,066_MET-502512.jpg,Bell,The Metropolitan Museum of Art,100 BC–200 AD?,Metal,69.8501,,34.9251,28.0161,17.6573,Outer W/D - user-corrected image plane,41.834,0.6697,0.8022,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 2 3/4 × Diam. 1 3/8 in. (7 × 3.5 cm) | Evidence PDF: 075_MET-502512_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 28.02 mm; Body B 41.83 mm; Loop outer W/D 17.66 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/502512,MET-502512,17.66,28.02,Not stated in dataset,collection/02_Evidence/066_MET-502512_Evidence.pdf,collection/03_Excel_Data/066_MET-502512_Data.xlsx,collection/04_Ruler_Reports/066_MET-502512/066_MET-502512_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/066_MET-502512/066_MET-502512_ruler.png,Other / no explicit era,Other / unspecified,22.805343672043183,False,False,True
67,067_MET-551366.jpg,Bell,The Metropolitan Museum of Art,332–30 BCE,Faience,31.0,,26.9876,13.0809,16.7247,Outer W/D - user-corrected image plane,17.9191,0.73,0.4847,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 3.1 cm (1 1/4 in.); Dia. 2.7 cm (1 1/6 in.) | Evidence PDF: 076_MET-551366_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 13.08 mm; Body B 17.92 mm; Loop outer W/D 16.72 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/551366,MET-551366,16.72,13.08,Not stated in dataset,collection/02_Evidence/067_MET-551366_Evidence.pdf,collection/03_Excel_Data/067_MET-551366_Data.xlsx,collection/04_Ruler_Reports/067_MET-551366/067_MET-551366_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/067_MET-551366/067_MET-551366_ruler.png,BCE-dated,Other / unspecified,11.387681941466402,False,False,True
